Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
"Tokyo, Japan",Energetic,10–25,5–10,"Sightseeing, Shopping, Food Tours",3,Yes,120,5
"Tokyo, Japan",Calm,10–25,4–7,"Sightseeing, Shopping, Food Tours",2,Yes,130,5
"Tokyo, Japan",Adventurous,10–25,5–8,"Sightseeing, Shopping, Food Tours",1,Yes,120,5
"Tokyo, Japan",Adventurous,10–25,5–10,"Sightseeing, Shopping, Food Tours",5,Yes,129,5
"Tokyo, Japan",Calm,10–25,3–5,"Sightseeing, Shopping, Food Tours",4,Yes,110,5
"Tokyo, Japan",Calm,10–25,4–7,"Sightseeing, Shopping, Food Tours",4,Yes,136,5
"Bali, Indonesia",Relaxed,25–32,7–14,"Beach, Yoga, Water Sports",2,Yes,60,4
"Bali, Indonesia",Adventurous,25–32,7–14,"Beach, Yoga, Water Sports",5,Yes,67,5
"Bali, Indonesia",Exotic,25–32,7–14,"Beach, Yoga, Water Sports",1,Yes,71,4
"Bali, Indonesia",Calm,25–32,4–7,"Beach, Yoga, Water Sports",5,Yes,68,4
"Bali, Indonesia",Relaxed,25–32,5–10,"Beach, Yoga, Water Sports",1,Yes,64,4
"Bali, Indonesia",Relaxed,25–32,5–10,"Beach, Yoga, Water Sports",4,Yes,66,5
"Marrakech, Morocco",Exotic,20–35,3–7,"Markets, Desert Trips, History",3,Yes,80,3
"Marrakech, Morocco",Energetic,20–35,4–7,"Markets, Desert Trips, History",1,Yes,73,3
"Marrakech, Morocco",Energetic,20–35,3–5,"Markets, Desert Trips, History",4,Yes,68,5
"Marrakech, Morocco",Energetic,20–35,7–14,"Markets, Desert Trips, History",5,Yes,68,3
"Marrakech, Morocco",Energetic,20–35,5–8,"Markets, Desert Trips, History",1,Yes,79,5
"Marrakech, Morocco",Calm,20–35,7–14,"Markets, Desert Trips, History",3,Yes,84,5
"Reykjavik, Iceland",Calm,-5–10,5–8,"Hot Springs, Northern Lights, Hiking",4,No,150,5
"Reykjavik, Iceland",Exotic,-5–10,7–14,"Hot Springs, Northern Lights, Hiking",1,No,154,5
"Reykjavik, Iceland",Energetic,-5–10,3–5,"Hot Springs, Northern Lights, Hiking",2,No,154,3
"Reykjavik, Iceland",Vibrant,-5–10,5–8,"Hot Springs, Northern Lights, Hiking",3,No,155,4
"Reykjavik, Iceland",Relaxed,-5–10,5–10,"Hot Springs, Northern Lights, Hiking",1,No,142,3
"Reykjavik, Iceland",Romantic,-5–10,5–8,"Hot Springs, Northern Lights, Hiking",2,No,174,4
"Barcelona, Spain",Vibrant,15–30,4–7,"Art, Beach, Tapas, Parties",2,Yes,100,4
"Barcelona, Spain",Adventurous,15–30,7–14,"Art, Beach, Tapas, Parties",4,Yes,110,4
"Barcelona, Spain",Vibrant,15–30,4–7,"Art, Beach, Tapas, Parties",4,Yes,103,3
"Barcelona, Spain",Exotic,15–30,10–15,"Art, Beach, Tapas, Parties",5,Yes,94,4
"Barcelona, Spain",Calm,15–30,10–15,"Art, Beach, Tapas, Parties",2,Yes,88,4
"Barcelona, Spain",Romantic,15–30,5–10,"Art, Beach, Tapas, Parties",3,Yes,80,4
"Queenstown, New Zealand",Adventurous,5–20,7–12,"Bungee Jumping, Skiing, Hiking",5,No,140,5
"Queenstown, New Zealand",Exotic,5–20,7–14,"Bungee Jumping, Skiing, Hiking",5,No,116,4
"Queenstown, New Zealand",Calm,5–20,7–14,"Bungee Jumping, Skiing, Hiking",1,No,139,3
"Queenstown, New Zealand",Calm,5–20,4–7,"Bungee Jumping, Skiing, Hiking",5,No,164,3
"Queenstown, New Zealand",Vibrant,5–20,5–8,"Bungee Jumping, Skiing, Hiking",3,No,138,5
"Queenstown, New Zealand",Calm,5–20,4–7,"Bungee Jumping, Skiing, Hiking",2,No,160,5
"Santorini, Greece",Romantic,20–30,3–5,"Views, Wine Tours, Sailing",1,Yes,110,5
"Santorini, Greece",Romantic,20–30,10–15,"Views, Wine Tours, Sailing",3,Yes,120,4
"Santorini, Greece",Vibrant,20–30,3–5,"Views, Wine Tours, Sailing",2,Yes,127,5
